RADNIK;SATI;RADNAL;DatumRacuna;pcentar
143;0,20;70473;11.1.2008
143;1,20;70635;11.1.2008
150;8,60;69814;11.1.2008
150;3,50;70175;11.1.2008
155;0,50;70398;11.1.2008
155;0,90;70468;11.1.2008
155;0,60;70576;11.1.2008
155;2,30;70635;11.1.2008
155;1,80;70646;11.1.2008
155;1,80;70647;11.1.2008
155;3,60;70658;11.1.2008
161;1,80;70601;11.1.2008
164;6,80;70139;11.1.2008
164;3,50;70141;11.1.2008
164;2,00;70637;11.1.2008
167;3,30;70066;11.1.2008
167;3,80;70634;11.1.2008
167;1,40;70661;11.1.2008
172;4,00;69814;11.1.2008
174;3,00;69803;11.1.2008
175;3,00;70139;11.1.2008
54;0,40;70279;12.1.2008
58;3,40;70672;12.1.2008
58;1,80;70681;12.1.2008
84;0,58;70358;12.1.2008
90;0,83;70572;12.1.2008
90;1,80;70674;12.1.2008
90;0,20;70680;12.1.2008
111;0,20;70115;12.1.2008
111;4,00;70631;12.1.2008
118;0,90;70358;12.1.2008
122;2,50;70673;12.1.2008
143;4,30;70178;12.1.2008
143;0,90;70236;12.1.2008
143;1,00;70659;12.1.2008
143;0,30;70662;12.1.2008
143;0,60;70675;12.1.2008
155;1,80;70469;12.1.2008
155;2,50;70648;12.1.2008
155;1,00;70678;12.1.2008
161;2,23;70177;12.1.2008
161;1,00;70257;12.1.2008
161;4,90;70657;12.1.2008
167;0,50;70676;12.1.2008
167;1,80;70677;12.1.2008
33;2,50;70687;14.1.2008
33;1,40;70716;14.1.2008
54;0,20;70048;14.1.2008
54;1,60;70688;14.1.2008
57;-1,80;70689;14.1.2008
57;1,80;70701;14.1.2008
58;4,00;70163;14.1.2008
58;1,80;70685;14.1.2008
58;1,80;70705;14.1.2008
58;1,80;70714;14.1.2008
90;3,50;70079;14.1.2008
105;15,20;69849;14.1.2008
111;1,10;70254;14.1.2008
111;2,70;70380;14.1.2008
111;1,50;70622;14.1.2008
111;0,30;70669;14.1.2008
122;7,60;70206;14.1.2008
128;7,00;69811;14.1.2008
128;8,00;69849;14.1.2008
128;2,00;69892;14.1.2008
128;4,00;70427;14.1.2008
150;3,50;69892;14.1.2008
150;2,73;70638;14.1.2008
150;2,00;70644;14.1.2008
155;1,50;70079;14.1.2008
155;1,50;70163;14.1.2008
155;3,30;70483;14.1.2008
155;2,70;70669;14.1.2008
155;1,80;70713;14.1.2008
161;2,70;70686;14.1.2008
161;1,80;70710;14.1.2008
164;12,00;69811;14.1.2008
164;1,50;70691;14.1.2008
167;1,80;70684;14.1.2008
167;1,80;70692;14.1.2008
167;1,20;70711;14.1.2008
171;10,20;69849;14.1.2008
172;6,00;69849;14.1.2008
172;1,00;69892;14.1.2008
174;6,00;70427;14.1.2008
175;6,00;69811;14.1.2008
175;4,00;70427;14.1.2008
33;1,10;69112;15.1.2008
33;1,80;70703;15.1.2008
33;2,90;70727;15.1.2008
33;1,80;70748;15.1.2008
33;2,30;70756;15.1.2008
54;1,10;69906;15.1.2008
54;1,11;70447;15.1.2008
54;0,20;70504;15.1.2008
54;2,50;70517;15.1.2008
54;0,20;70754;15.1.2008
58;1,30;70536;15.1.2008
58;2,50;70682;15.1.2008
58;2,30;70707;15.1.2008
58;1,80;70720;15.1.2008
58;-1,80;70725;15.1.2008
58;1,80;70729;15.1.2008
58;1,80;70732;15.1.2008
58;1,80;70742;15.1.2008
58;1,80;70743;15.1.2008
90;1,80;70441;15.1.2008
102;1,40;70054;15.1.2008
102;0,30;70502;15.1.2008
102;1,20;70733;15.1.2008
105;8,00;69894;15.1.2008
105;5,00;70041;15.1.2008
111;0,50;70694;15.1.2008
111;1,50;70739;15.1.2008
118;1,80;70730;15.1.2008
118;1,80;70735;15.1.2008
122;0,60;70591;15.1.2008
122;1,80;70753;15.1.2008
128;6,50;69894;15.1.2008
128;2,60;69941;15.1.2008
128;3,00;69983;15.1.2008
128;4,00;70041;15.1.2008
128;5,00;70539;15.1.2008
143;0,30;70591;15.1.2008
150;0,50;70145;15.1.2008
155;0,40;69670;15.1.2008
155;0,90;70054;15.1.2008
155;3,00;70517;15.1.2008
155;0,90;70682;15.1.2008
155;1,40;70727;15.1.2008
155;1,20;70729;15.1.2008
155;0,50;70735;15.1.2008
155;0,20;70739;15.1.2008
155;0,50;70748;15.1.2008
155;1,80;70757;15.1.2008
161;3,00;70712;15.1.2008
161;1,80;70718;15.1.2008
161;3,50;70731;15.1.2008
161;1,80;70746;15.1.2008
164;5,00;69983;15.1.2008
164;2,00;70339;15.1.2008
164;2,00;70539;15.1.2008
167;1,10;70723;15.1.2008
167;0,20;70728;15.1.2008
167;3,00;70744;15.1.2008
171;8,00;69894;15.1.2008
171;2,50;70041;15.1.2008
172;2,00;69941;15.1.2008
172;2,50;69983;15.1.2008
172;3,00;70041;15.1.2008
174;2,00;69941;15.1.2008
174;3,00;70286;15.1.2008
174;3,00;70539;15.1.2008
175;4,00;69894;15.1.2008
33;1,40;70532;16.1.2008
33;3,80;70671;16.1.2008
47;1,00;70275;16.1.2008
47;1,00;70432;16.1.2008
54;0,70;69680;16.1.2008
54;1,40;70205;16.1.2008
54;0,50;70785;16.1.2008
58;2,70;70763;16.1.2008
58;2,70;70771;16.1.2008
58;1,80;70786;16.1.2008
71;2,20;70698;16.1.2008
90;2,00;70347;16.1.2008
102;0,70;70480;16.1.2008
102;0,70;70760;16.1.2008
102;0,90;70768;16.1.2008
102;1,80;70769;16.1.2008
102;1,80;70790;16.1.2008
111;8,00;70610;16.1.2008
111;0,50;70752;16.1.2008
111;0,70;70791;16.1.2008
118;3,70;70761;16.1.2008
118;0,80;70780;16.1.2008
124;1,00;70625;16.1.2008
128;2,00;70275;16.1.2008
128;4,00;70432;16.1.2008
128;-3,50;70774;16.1.2008
150;9,00;70432;16.1.2008
155;1,80;70764;16.1.2008
155;1,80;70770;16.1.2008
155;0,50;70771;16.1.2008
155;0,70;70775;16.1.2008
155;0,50;70777;16.1.2008
155;1,80;70778;16.1.2008
155;0,50;70791;16.1.2008
155;1,80;70792;16.1.2008
161;2,30;70574;16.1.2008
161;3,70;70762;16.1.2008
161;0,60;70766;16.1.2008
161;1,80;70779;16.1.2008
164;1,50;70700;16.1.2008
164;-6,80;70774;16.1.2008
167;2,50;70738;16.1.2008
167;2,50;70767;16.1.2008
167;2,30;70777;16.1.2008
174;1,60;70275;16.1.2008
174;0,50;70625;16.1.2008
175;4,00;70432;16.1.2008
175;-3,00;70774;16.1.2008
33;4,10;69975;17.1.2008
33;3,80;70795;17.1.2008
33;3,20;70821;17.1.2008
39;1,80;70796;17.1.2008
47;1,00;70154;17.1.2008
54;0,70;69975;17.1.2008
54;0,20;70806;17.1.2008
54;1,50;70808;17.1.2008
58;1,20;70783;17.1.2008
58;1,80;70806;17.1.2008
58;5,60;70816;17.1.2008
84;0,58;70665;17.1.2008
90;2,50;70626;17.1.2008
90;0,90;70665;17.1.2008
102;2,20;70797;17.1.2008
102;1,80;70826;17.1.2008
102;1,80;70828;17.1.2008
111;7,00;70376;17.1.2008
111;1,50;70719;17.1.2008
111;1,48;70726;17.1.2008
111;0,30;70799;17.1.2008
111;5,50;70812;17.1.2008
118;1,30;69915;17.1.2008
118;1,80;70798;17.1.2008
124;3,00;70154;17.1.2008
155;2,80;70804;17.1.2008
155;0,50;70816;17.1.2008
155;1,70;70817;17.1.2008
155;0,50;70821;17.1.2008
161;4,90;70784;17.1.2008
164;3,50;70154;17.1.2008
167;3,20;70801;17.1.2008
174;3,00;70614;17.1.2008
33;5,20;70835;18.1.2008
33;1,40;70858;18.1.2008
33;1,80;70868;18.1.2008
47;1,00;69976;18.1.2008
47;1,00;70207;18.1.2008
54;0,60;70846;18.1.2008
54;0,30;70862;18.1.2008
58;4,00;70602;18.1.2008
58;1,90;70836;18.1.2008
58;1,80;70841;18.1.2008
58;1,80;70845;18.1.2008
58;1,80;70857;18.1.2008
102;2,20;70512;18.1.2008
102;3,20;70595;18.1.2008
102;1,80;70834;18.1.2008
102;0,90;70863;18.1.2008
111;0,50;70829;18.1.2008
111;0,80;70838;18.1.2008
118;4,30;70547;18.1.2008
118;3,60;70839;18.1.2008
124;2,50;70511;18.1.2008
128;5,00;69976;18.1.2008
128;2,00;70207;18.1.2008
150;5,10;70207;18.1.2008
150;2,50;70822;18.1.2008
155;1,20;70595;18.1.2008
155;5,00;70803;18.1.2008
155;4,20;70837;18.1.2008
155;3,50;70866;18.1.2008
161;2,50;70690;18.1.2008
161;5,60;70840;18.1.2008
164;7,50;69976;18.1.2008
164;3,00;70511;18.1.2008
164;3,00;70782;18.1.2008
167;0,50;70869;18.1.2008
174;6,00;69976;18.1.2008
175;4,00;69976;18.1.2008
175;2,00;70207;18.1.2008
33;1,80;70877;19.1.2008
33;1,80;70883;19.1.2008
33;1,80;70885;19.1.2008
54;0,30;70880;19.1.2008
102;1,80;70884;19.1.2008
118;1,80;70872;19.1.2008
128;3,50;70820;19.1.2008
155;3,00;70182;19.1.2008
161;1,80;70878;19.1.2008
161;3,00;70879;19.1.2008
164;6,80;70820;19.1.2008
175;3,00;70820;19.1.2008
33;2,20;70537;21.1.2008
47;1,00;69933;21.1.2008
47;1,00;70244;21.1.2008
58;1,80;70891;21.1.2008
58;1,80;70894;21.1.2008
58;1,80;70906;21.1.2008
58;1,80;70908;21.1.2008
90;1,80;70911;21.1.2008
90;1,80;70920;21.1.2008
105;10,00;69933;21.1.2008
105;-5,00;70905;21.1.2008
111;0,50;70891;21.1.2008
111;0,50;70909;21.1.2008
118;2,10;70750;21.1.2008
118;1,80;70890;21.1.2008
122;1,80;70888;21.1.2008
122;2,70;70904;21.1.2008
122;0,70;70912;21.1.2008
124;4,00;69933;21.1.2008
